"code_system","code","display"
"https://ibsi.readthedocs.io/en/latest/","RZ08","RegionGrowing"
"https://ibsi.readthedocs.io/en/latest/","A9GC","RegionSplitting"
"https://ibsi.readthedocs.io/en/latest/","TAWD","SplitAndMerge"
"https://ibsi.readthedocs.io/en/latest/","Q025","WatershedAlgorithm"
"https://ibsi.readthedocs.io/en/latest/","L2WC","ThresholdingBased"
"https://ibsi.readthedocs.io/en/latest/","E8C8","GlobalThresholding"
"https://ibsi.readthedocs.io/en/latest/","81TK","LocalAdaptiveThresholding"
"https://ibsi.readthedocs.io/en/latest/","4VLP","Institution"
"https://ibsi.readthedocs.io/en/latest/","DTYK","Phantom"
"https://ibsi.readthedocs.io/en/latest/","YUBG","Software"
"https://ibsi.readthedocs.io/en/latest/","SU1L","SoftwareProperties"
"https://ibsi.readthedocs.io/en/latest/","59QT","License"
"https://ibsi.readthedocs.io/en/latest/","1DUG","OpenSource"
"https://ibsi.readthedocs.io/en/latest/","G91N","Proprietary"
"https://ibsi.readthedocs.io/en/latest/","W2J1","Version"
"https://ibsi.readthedocs.io/en/latest/","M9H0","VersionStatus"
"https://ibsi.readthedocs.io/en/latest/","4AGS","Filter application"
"https://ibsi.readthedocs.io/en/latest/","7QSE","filter in axial plane"
"https://ibsi.readthedocs.io/en/latest/","0ODV","volumetric filter"
"https://ibsi.readthedocs.io/en/latest/","GBYQ","boundary condition"
"https://ibsi.readthedocs.io/en/latest/","Z3VE","constant value"
"https://ibsi.readthedocs.io/en/latest/","SIJG","nearest value"
"https://ibsi.readthedocs.io/en/latest/","Z7YO","periodic"
"https://ibsi.readthedocs.io/en/latest/","ZDTV","mirror"
"https://ibsi.readthedocs.io/en/latest/","S60F","MeanFilter"
"https://ibsi.readthedocs.io/en/latest/","YNOF","kernel support"
"https://ibsi.readthedocs.io/en/latest/","8BC3","GaussianFilter"
"https://ibsi.readthedocs.io/en/latest/","L6PA","LaplacianFilter"
"https://ibsi.readthedocs.io/en/latest/","41LN","Gaussian envelope scale"
"https://ibsi.readthedocs.io/en/latest/","WGPM","Filter size cutoff"
"https://ibsi.readthedocs.io/en/latest/","JTXT","Laws kernel filter"
"https://ibsi.readthedocs.io/en/latest/","JVAD","Laws kernels"
"https://ibsi.readthedocs.io/en/latest/","B5BZ","Laws L3 kernel"
"https://ibsi.readthedocs.io/en/latest/","6HRH","Laws L5 kernel"
"https://ibsi.readthedocs.io/en/latest/","LJ4T","Laws E3 kernel"
"https://ibsi.readthedocs.io/en/latest/","2WPV","Laws E5 kernel"
"https://ibsi.readthedocs.io/en/latest/","MK5Z","Laws S3 kernel"
"https://ibsi.readthedocs.io/en/latest/","RXA1","Laws S5 kernel"
